sample_idx,t,actual_x,actual_y,pred_x,pred_y,band_lower_x,band_upper_x,band_lower_y,band_upper_y,method,heteroskedasticity
190,11,-0.015647702819647565,-0.4209424607065346,0.006393764168024063,-0.43752238154411316,-0.09925364314279794,0.11204117147884607,-0.5431697888549352,-0.33187497423329115,CAFHT,easy
190,12,-0.0008865198324048701,-0.41004707790427186,-0.004199285060167313,-0.410078763961792,-0.108487571734077,0.10008900161374237,-0.5143670506357017,-0.30579047728788233,CAFHT,easy
190,13,-0.03617226165937674,-0.35413110145789084,-0.01700962334871292,-0.3734769821166992,-0.12792192281765763,0.09390267612023179,-0.4843892815856439,-0.2625646826477545,CAFHT,easy
190,14,-0.012954455229337995,-0.3231101270026072,-0.026442786678671837,-0.33626052737236023,-0.13683261897789903,0.08394704562055536,-0.4466503596715874,-0.2258706950731331,CAFHT,easy
190,15,-0.03670871243969048,-0.3125123777167567,-0.036024950444698334,-0.3043583333492279,-0.1458803198763017,0.07383041898690504,-0.41421370278083125,-0.19450296391762456,CAFHT,easy
190,16,-0.045465831179407404,-0.3025119783284282,-0.04609424248337746,-0.27735278010368347,-0.1554031533494508,0.06321466838269588,-0.38666169096975683,-0.16804386923761014,CAFHT,easy
190,17,-0.01592724316389393,-0.27237534152235005,-0.050456445664167404,-0.24974334239959717,-0.1589698456185875,0.05805695429025272,-0.3582567423540173,-0.14122994244517706,CAFHT,easy
190,18,-0.10579733759013422,-0.22139726945873245,-0.06485630571842194,-0.21613800525665283,-0.17391049633518313,0.04419788489833927,-0.3251921958734141,-0.1070838146398916,CAFHT,easy
190,19,-0.025078369905956115,-0.1943573667711599,,,-0.17391049633518313,0.04419788489833927,-0.3251921958734141,-0.1070838146398916,CAFHT,easy
191,0,-0.47648902821316613,0.05329153605015675,-0.4581248164176941,0.05753403529524803,-0.6182655834097287,-0.2979840494256595,-0.10260673169678661,0.21767480228728267,CAFHT,easy
191,1,-0.4465053581742362,0.05664169693909441,-0.42318421602249146,0.06782198697328568,-0.5833249830145261,-0.26304344903045684,-0.09231878001874896,0.2279627539653203,CAFHT,easy
191,2,-0.42020966119876424,0.06537520669008229,-0.39443475008010864,0.07445240765810013,-0.5545755170721433,-0.23429398308807406,-0.08568835933393451,0.23459317465013477,CAFHT,easy
191,3,-0.38401661446315,0.07032936441340253,-0.36259299516677856,0.0765124261379242,-0.5184366850039774,-0.20674930532957972,-0.0793312636992747,0.2323561159751231,CAFHT,easy
191,4,-0.36309251341325594,0.07443858961973956,-0.33612340688705444,0.08101894706487656,-0.48756028238401183,-0.18468653139009705,-0.07041792843208078,0.2324558225618339,CAFHT,easy
191,5,-0.31854622304399344,0.08247216625433638,-0.3037925362586975,0.08621332049369812,-0.45073183733725825,-0.15685323518013677,-0.06072598058486259,0.23315262157225886,CAFHT,easy
191,6,-0.29211809621231777,0.07799470801399581,-0.27204135060310364,0.08775994181632996,-0.4143923171851125,-0.12969038402109478,-0.05459102476567888,0.2301109083983388,CAFHT,easy
