domain,experiment_id,file_path,method,shift_condition,dgp_or_dataset,n_train,n_cal,n_test,T,alpha,n_seeds,seed,overall_coverage,coverage_std_pooled,coverage_se,mean_width,width_std_pooled,early_coverage_mean,late_coverage_mean,coverage_degradation,time_resolved_metrics,aci_stepsize,covariate_mode,with_shift,mixed,notes
finance,tech_noshift_20250102_20250228,results/finance/json/finance_tech_noshift_20250102_20250228.json,AdaptedCAFHT (uniform weights + ACI),no_shift_unweighted,S&P 500 Technology · 2025-01-03→2025-02-28,199,198,72,39,0.1,1,42,0.8680555555555556,,,0.05292049373833475,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,False,False,
finance,tech_shift_20240102_20240229,results/finance/json/finance_tech_shift_20240102_20240229.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-01-03→2024-02-29,200,199,72,41,0.1,1,42,0.9128472222222223,,,0.047171316446931455,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240201_20240328,results/finance/json/finance_tech_shift_20240201_20240328.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-02-02→2024-03-28,199,198,72,40,0.1,1,42,0.8831908831908832,,,0.04455103064231797,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240301_20240430,results/finance/json/finance_tech_shift_20240301_20240430.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-03-04→2024-04-30,199,198,72,42,0.1,1,42,0.8844850948509485,,,0.049037680534695496,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240401_20240531,results/finance/json/finance_tech_shift_20240401_20240531.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-04-02→2024-05-31,198,198,72,44,0.1,1,42,0.8724160206718347,,,0.04396297143798823,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240501_20240628,results/finance/json/finance_tech_shift_20240501_20240628.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-05-02→2024-06-28,199,198,72,41,0.1,1,42,0.9017361111111111,,,0.05060630945673683,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240603_20240731,results/finance/json/finance_tech_shift_20240603_20240731.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-06-04→2024-07-31,199,198,72,41,0.1,1,42,0.8767361111111112,,,0.05074818532284566,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240701_20240830,results/finance/json/finance_tech_shift_20240701_20240830.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-07-02→2024-08-30,199,198,72,44,0.1,1,42,0.8895348837209303,,,0.06138824104618548,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240801_20240930,results/finance/json/finance_tech_shift_20240801_20240930.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-08-02→2024-09-30,199,198,72,42,0.1,1,42,0.9146341463414634,,,0.0573617728843218,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20240903_20241031,results/finance/json/finance_tech_shift_20240903_20241031.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-09-04→2024-10-31,199,198,72,43,0.1,1,42,0.8875661375661376,,,0.04679386837124236,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
